xx,xy,xz,yx,yy,yz,zx,zy,zz
5.479184,0.000000,0.020022,0.000000,5.471756,0.000000,0.158145,0.000000,41.690143
5.478936,0.000000,0.020006,0.000000,5.471449,0.000000,0.158026,0.000000,41.688059
5.477544,0.000000,0.019889,0.000000,5.470209,0.000000,0.157103,0.000000,41.685551
5.478251,0.000000,0.019873,0.000000,5.471016,0.000000,0.156990,0.000000,41.689393
5.478871,0.000000,0.019776,0.000000,5.471869,0.000000,0.156248,0.000000,41.695905
5.477933,0.000000,0.019741,0.000000,5.470952,0.000000,0.155974,0.000000,41.691520
5.477079,0.000000,0.019667,0.000000,5.470211,0.000000,0.155381,0.000000,41.692260
5.477394,0.000000,0.019623,0.000000,5.470639,0.000000,0.155042,0.000000,41.695968
5.477673,0.000000,0.019571,0.000000,5.470990,0.000000,0.154651,0.000000,41.696259
5.477835,0.000000,0.019470,0.000000,5.471266,0.000000,0.153876,0.000000,41.699879
5.476845,0.000000,0.019285,0.000000,5.470390,0.000000,0.152448,0.000000,41.699164
5.477189,0.000000,0.019306,0.000000,5.470760,0.000000,0.152614,0.000000,41.698922
5.477291,0.000000,0.019306,0.000000,5.470871,0.000000,0.152611,0.000000,41.700414
5.476802,0.000000,0.019265,0.000000,5.470435,0.000000,0.152289,0.000000,41.700721
5.476577,0.000000,0.019059,0.000000,5.470447,0.000000,0.150706,0.000000,41.702200
5.476886,0.000000,0.019055,0.000000,5.470778,0.000000,0.150673,0.000000,41.705262
5.476440,0.000000,0.019013,0.000000,5.470352,0.000000,0.150348,0.000000,41.704640
5.476655,0.000000,0.018955,0.000000,5.470625,0.000000,0.149906,0.000000,41.705226
5.476754,0.000000,0.018783,0.000000,5.470857,0.000000,0.148600,0.000000,41.705099
5.476323,0.000000,0.018661,0.000000,5.470486,0.000000,0.147659,0.000000,41.706513
5.476041,0.000000,0.018587,0.000000,5.470266,0.000000,0.147092,0.000000,41.705482
5.476366,0.000000,0.018601,0.000000,5.470655,0.000000,0.147206,0.000000,41.706143
5.475954,0.000000,0.018576,0.000000,5.470244,0.000000,0.146998,0.000000,41.706705
5.475902,0.000000,0.018569,0.000000,5.470241,0.000000,0.146946,0.000000,41.707661
5.476102,0.000000,0.018506,0.000000,5.470510,0.000000,0.146462,0.000000,41.709292
5.476006,0.000000,0.018330,0.000000,5.470510,0.000000,0.145119,0.000000,41.710408
5.475528,0.000000,0.018117,0.000000,5.470120,0.000000,0.143485,0.000000,41.708683
5.475619,0.000000,0.018137,0.000000,5.470218,0.000000,0.143636,0.000000,41.710123
5.475643,0.000000,0.018155,0.000000,5.470245,0.000000,0.143774,0.000000,41.710198
5.475870,0.000000,0.018236,0.000000,5.470471,0.000000,0.144396,0.000000,41.712087
5.475750,0.000000,0.018231,0.000000,5.470354,0.000000,0.144355,0.000000,41.710939
5.475522,0.000000,0.018187,0.000000,5.470146,0.000000,0.144015,0.000000,41.710436
5.475379,0.000000,0.018179,0.000000,5.470003,0.000000,0.143955,0.000000,41.709656
5.475732,0.000000,0.018158,0.000000,5.470383,0.000000,0.143804,0.000000,41.710275
5.475667,0.000000,0.018106,0.000000,5.470357,0.000000,0.143406,0.000000,41.709437
5.475759,0.000000,0.018070,0.000000,5.470464,0.000000,0.143130,0.000000,41.711329
5.475244,0.000000,0.018005,0.000000,5.469991,0.000000,0.142624,0.000000,41.710971
5.475297,0.000000,0.017980,0.000000,5.470086,0.000000,0.142436,0.000000,41.711141
5.475428,0.000000,0.017969,0.000000,5.470236,0.000000,0.142349,0.000000,41.712092
5.475723,0.000000,0.017938,0.000000,5.470569,0.000000,0.142117,0.000000,41.714055
5.475489,0.000000,0.017913,0.000000,5.470338,0.000000,0.141915,0.000000,41.714138
5.475234,0.000000,0.017907,0.000000,5.470100,0.000000,0.141871,0.000000,41.712500
5.475106,0.000000,0.017820,0.000000,5.469947,0.000000,0.141197,0.000000,41.715451
5.474860,0.000000,0.017845,0.000000,5.469751,0.000000,0.141383,0.000000,41.713869
5.475196,0.000000,0.017834,0.000000,5.470126,0.000000,0.141308,0.000000,41.714892
5.475254,0.000000,0.017824,0.000000,5.470196,0.000000,0.141234,0.000000,41.714687
5.475234,0.000000,0.017810,0.000000,5.470196,0.000000,0.141129,0.000000,41.713393
5.475289,0.000000,0.017808,0.000000,5.470215,0.000000,0.141115,0.000000,41.713848
5.475035,0.000000,0.017791,0.000000,5.469987,0.000000,0.140988,0.000000,41.712107
